id,name,description,initial_price,quantity,reserve_price,buy_now,nb_of_bids,max_bid,start_date,end_date,seller,category
30,harum,"ut et voluptates",788.53,4,896.86,404.2,17,170.01,"2021-11-10 22:31:28","2021-10-26 21:23:01",128,24
31,ut,"voluptatem quia voluptas",766.19,4,350.91,988.75,3,579.64,"2021-09-02 05:16:42","2021-04-04 04:53:34",126,2
32,eum,"autem quibusdam et",505.08,5,387.75,127.7,92,14.39,"2021-03-20 08:59:34","2021-11-24 15:47:46",123,37
33,velit,"repudiandae sint et",66.32,10,593.47,644.93,67,778.51,"2021-05-18 05:56:53","2021-11-22 07:01:08",13,31
34,eaque,"et voluptates repudiandae",748.02,10,813.88,330.16,55,252.18,"2022-02-03 06:45:35","2021-04-01 00:28:58",113,15
35,quis,"harum quidem rerum",298.06,10,164.97,617.82,38,725.95,"2021-10-14 16:37:22","2021-04-17 11:46:51",79,46
36,consequatur,"quibusdam et aut",970.59,5,868.79,793.13,12,203.6,"2021-07-29 11:26:44","2021-08-09 07:11:32",25,48
37,beatae,"voluptate velit esse",65.15,6,105.27,629.35,56,522.73,"2021-03-13 18:05:35","2022-03-03 04:19:51",23,40
38,a,"nobis est eligendi",406.12,10,149.87,390.08,1,438.33,"2021-12-29 15:56:35","2021-08-25 03:29:21",13,36
39,autem,"itaque earum rerum",488.96,0,364.71,767.04,41,264.08,"2021-09-10 09:59:35","2022-02-05 14:14:35",96,31
40,commodi,"eveniet ut et",914.58,10,744.49,506.25,11,768.08,"2021-11-09 15:55:13","2022-01-05 21:45:47",172,25
41,ex,"debitis aut rerum",604.73,3,67.41,9.49,13,80.38,"2021-03-31 09:20:47","2021-12-21 23:39:02",71,39
42,praesentium,"perspiciatis unde omnis",924.57,3,950.33,11.47,12,333.46,"2022-02-09 09:46:15","2021-11-12 13:25:13",53,6
43,est,"et quasi architecto",503.84,1,452.22,378.16,34,297.43,"2021-11-15 04:32:41","2021-12-01 02:29:16",91,30
44,ad,"sunt explicabo aspernatur",811.99,1,191.55,178.43,81,736.42,"2021-09-14 09:54:07","2022-02-08 11:12:08",137,48
45,libero,"sed quia consequuntur",769.81,5,219.32,648.56,86,821.34,"2021-08-25 06:12:06","2021-11-17 05:09:50",152,14
46,rerum,"voluptatem ut enim",945.49,3,235.27,71.26,41,37.7,"2022-01-22 02:17:46","2021-05-14 18:42:56",121,49
47,placeat,"beatae vitae dicta",331.75,3,457.87,271.04,26,149.39,"2021-08-06 04:04:49","2021-05-18 19:20:37",44,1
48,molestiae,"dolorem eum fugiat",917.88,9,162.34,102.15,59,592.45,"2021-09-04 16:27:55","2021-11-27 06:04:47",37,24
49,amet,"temporibus autem quibusdam",98.85,8,180.56,889.52,48,857.59,"2021-12-02 00:31:37","2021-03-18 16:57:37",143,46
50,aliquid,"molestiae non recusandae",840.04,1,769.06,788.03,76,624.53,"2021-12-18 18:42:06","2021-04-05 13:22:24",107,50
51,quod,"ullam corporis nemo",694.37,10,392.68,597.59,4,527.95,"2021-06-05 18:44:16","2021-07-03 19:56:32",139,36
52,ut,"dolores et quas",43.15,2,497.85,547.88,73,919.92,"2021-05-23 09:34:02","2021-09-30 14:55:34",12,50
53,omnis,"rerum facilis est",644.93,1,512.25,490.86,4,221.98,"2022-01-12 07:27:56","2021-03-14 13:24:36",117,50
54,fugiat,"doloribus asperiores repellat",700.98,2,763.83,768.23,20,675.75,"2021-04-12 10:17:53","2021-03-24 01:50:09",19,32
55,et,"molestiae non recusandae",797.87,0,920.99,972.34,18,662.77,"2021-12-18 07:31:15","2021-05-15 11:18:04",26,40
56,ea,"quis nostrum exercitationem",929.06,4,242.83,773.89,67,214.79,"2022-01-26 01:27:46","2021-10-31 13:51:50",168,12
57,sed,"voluptatum deleniti atque",953.26,3,408.17,252.53,38,645.36,"2021-09-11 10:28:41","2021-12-29 03:31:17",146,14
58,debitis,"quibusdam et aut",841.45,7,590.35,816.48,58,583.17,"2021-07-27 04:49:44","2021-07-04 18:45:40",154,31
59,molestiae,"ab illo inventore",99.16,2,997.36,27.23,96,674.24,"2021-04-05 14:18:00","2021-10-07 09:14:39",138,50
60,ipsa,"porro quisquam est",472.65,6,635.56,512.97,15,146.84,"2021-09-21 16:11:32","2021-03-11 07:28:58",94,2
61,voluptatem,"magnam aliquam quaerat",425.55,4,591.37,368.32,73,60.36,"2021-08-23 02:27:59","2021-09-19 19:35:50",127,24
62,natus,"velit sed quia",216.27,1,314.7,790.37,91,255.56,"2021-12-16 04:14:59","2022-02-16 11:39:04",80,27
63,quasi,"corrupti quos dolores",766.01,2,821.29,917.76,45,314.11,"2021-12-30 15:18:28","2021-09-17 06:40:25",150,42
64,minima,"rerum facilis est",387.82,5,514.59,788.08,54,930.04,"2021-04-08 12:49:03","2021-04-08 03:21:21",124,42
65,corrupti,"accusantium doloremque aperiam",704.59,3,147.91,1.31,93,632.49,"2021-08-19 14:42:07","2021-04-26 03:24:22",174,10
66,explicabo,"magni dolores eos",935.05,10,376.61,925.39,74,146.39,"2022-03-03 10:28:55","2021-10-06 17:09:39",35,12
67,et,"reiciendis voluptatibus maiores",240.99,7,96,536.39,21,516.93,"2021-04-09 12:22:19","2021-03-26 00:59:36",117,13
68,nihil,"omnis dolor repellendus",680.61,2,612.26,232.26,85,102.18,"2021-08-25 13:47:52","2021-04-28 22:48:41",186,13
69,voluptas,"perferendis sit voluptatem",721.49,9,424.24,972.37,8,151.32,"2021-04-17 22:38:06","2021-04-29 19:28:16",89,30
70,,"itaque earum rerum",169.4,7,258.59,734.27,21,690.07,"2022-02-07 00:48:50","2021-10-07 03:13:04",61,34
71,sed,"vero eos et",497.1,8,350.37,774.31,59,575.15,"2022-03-09 07:00:13","2021-07-14 09:32:20",127,19
72,eos,"sit suscipit laboriosam",892.54,6,105.25,545.57,3,135.1,"2021-10-15 17:28:37","2022-02-16 00:13:22",23,46
73,sapiente,"qui ratione voluptatem",893.87,0,160.19,117.6,13,267.99,"2022-01-02 10:52:04","2021-09-23 00:04:41",92,25
74,quae,"rerum facilis est",374.4,9,108.55,535.54,56,981.72,"2021-12-28 21:41:19","2021-10-21 03:43:28",115,48
75,autem,"eaque ipsa quae",625.52,3,615.6,351.72,35,608.17,"2021-05-06 10:05:31","2021-08-12 14:58:20",164,49
76,autem,"temporibus autem quibusdam",37.48,6,981.99,929.7,16,416.27,"2021-08-05 23:39:55","2021-12-31 17:09:45",28,38
77,earum,"repudiandae sint et",835.3,1,2.56,305.31,77,171.52,"2021-08-25 12:17:59","2021-12-25 21:21:55",94,28
78,qui,"aut perferendis sit",587.35,8,363.7,889.17,77,340.06,"2021-09-03 15:32:53","2021-10-28 21:45:53",34,5
79,temporibus,"perspiciatis unde omnis",638.19,1,383.24,601.46,14,674.94,"2021-07-21 15:24:17","2021-09-14 18:42:01",70,9
80,sunt,"eaque ipsa quae",283.99,8,597.51,767.12,74,77.97,"2021-03-29 09:21:38","2022-02-17 14:57:36",120,4
81,sed,"dignissimos ducimus qui",111.43,3,464.33,337.91,69,751.92,"2021-08-31 03:44:52","2021-11-15 20:01:45",167,49
82,quisquam,"minus id quod",115.31,7,252.99,777.12,79,258.68,"2021-09-30 01:36:59","2022-02-11 23:32:43",122,23
83,nostrum,"ducimus qui blanditiis",199.64,3,451.49,876.14,29,712.73,"2022-01-30 22:00:56","2021-08-05 10:07:02",122,45
84,repellat,"atque corrupti quos",470.5,10,483.31,603.39,65,695.98,"2021-05-10 19:36:56","2022-01-04 19:09:11",65,19
85,quaerat,"non numquam eius",338.71,7,595.2,346.71,56,989.73,"2021-06-29 19:20:11","2021-10-09 06:15:16",184,10
86,quidem,"quia non numquam",902.88,8,141.94,345.88,48,582.56,"2021-03-29 11:47:10","2021-03-30 03:52:18",154,49
87,hic,"et aut consequatur",311.62,2,102.94,278.02,33,462.07,"2022-02-21 23:48:57","2022-01-02 20:38:22",134,25
88,sint,"nisi ut aliquid",542.92,6,862.78,806.46,48,614.29,"2021-05-04 07:07:07","2022-01-24 18:29:10",108,2
89,et,"eius modi tempora",7.91,6,407.43,945.41,13,264.78,"2021-04-28 17:59:45","2021-03-14 12:44:21",13,21
90,distinctio,"est et expedita",241.08,3,181.65,909.4,62,816.44,"2021-11-25 14:55:05","2021-05-15 19:22:32",35,2
91,laudantium,"culpa qui officia",229.16,2,362.2,836.27,66,571.8,"2021-05-08 11:38:29","2022-02-11 13:17:00",139,30
92,quasi,"quo voluptas nulla",407.76,4,279.87,420.82,87,934.32,"2022-01-19 04:32:06","2021-07-07 11:52:35",193,44
93,ut,"dolores et quas",774.64,3,169.92,357.14,50,104.28,"2021-11-27 04:11:05","2021-06-24 12:59:24",199,35
94,est,"magni dolores eos",269.74,2,350.29,131.46,81,6.84,"2021-04-27 18:57:01","2021-03-11 02:23:55",21,39
95,soluta,"et quasi architecto",649.22,3,559.07,647.67,69,164.32,"2021-10-17 22:55:10","2021-05-15 17:10:45",93,40
96,autem,"ipsam voluptatem quia",437.02,1,768.4,45.1,10,390.51,"2022-03-06 06:48:22","2021-11-24 07:05:14",64,26
97,aspernatur,"porro quisquam est",373.6,6,959.17,796.4,34,201.08,"2021-04-07 11:39:00","2021-11-07 11:49:57",184,1
98,et,"culpa qui officia",478.4,3,150.47,19.71,80,110.31,"2022-02-02 20:31:47","2021-05-30 08:30:33",169,48
99,in,"ab illo inventore",21.55,7,848.46,85.44,41,164,"2021-11-11 04:51:20","2021-07-03 12:54:18",105,38
100,fugiat,"accusamus officiis debitis",504.69,3,458.42,693.86,100,154.85,"2021-10-14 04:28:15","2021-04-20 06:54:58",37,28
101,qui,"reiciendis voluptatibus maiores",275.81,10,761.8,62.15,33,979.79,"2021-03-22 19:46:59","2021-06-09 03:49:43",168,24
102,magnam,"temporibus autem quibusdam",936.76,10,233.86,852.37,26,706.31,"2021-07-22 00:40:34","2021-07-29 04:33:23",78,25
103,aut,"fuga et harum",415.24,9,323.03,414.18,44,303.91,"2021-07-03 11:40:40","2022-02-26 00:52:56",181,3
104,in,"quasi architecto beatae",669.15,5,405.8,30.04,75,186.63,"2022-01-17 01:17:30","2021-06-29 01:32:57",5,3
105,expedita,"provident sed ut",886.26,7,961.64,376.86,87,969.74,"2021-06-23 07:44:13","2021-08-21 10:46:12",115,5
106,excepturi,"modi tempora incidunt",593.82,1,535.92,160.91,39,789.95,"2021-07-20 05:12:03","2021-03-25 04:40:35",116,44
107,et,"rem voluptatum deleniti",509.33,6,419.61,766.32,30,536.54,"2021-06-22 13:03:59","2021-08-03 05:29:37",158,49
108,et,"modi tempora incidunt",405.08,2,945.05,656.95,77,509.78,"2022-03-06 10:56:16","2021-06-17 01:32:51",3,28
109,aut,"accusantium doloremque aperiam",284.96,8,526.44,73.48,92,488.22,"2021-10-14 18:30:42","2022-03-09 04:15:41",61,41
110,quae,"cumque nihil impedit",1.53,7,85.71,622.67,78,258.49,"2021-12-10 06:46:44","2021-12-28 07:16:49",191,4
111,non,"fuga et harum",345.61,9,779.86,630.2,22,83.85,"2021-06-27 20:36:25","2022-01-14 02:31:21",58,17
112,eius,"nesciunt neque dolorem",446.78,1,890.1,865.48,59,250.37,"2021-03-23 09:00:21","2021-12-30 10:47:40",113,35
113,consequatur,"totam rem voluptatum",134.12,10,652.29,799.32,25,393.91,"2021-04-15 02:39:42","2021-09-24 08:09:09",29,47
114,ut,"quam nihil molestiae",55.92,5,750.96,962.69,70,254.64,"2021-08-19 02:27:12","2021-12-18 09:49:18",76,7
115,occaecati,"cumque nihil impedit",239.64,0,829.86,379.42,21,761.62,"2021-07-01 20:43:59","2021-10-14 03:46:40",70,14
116,possimus,"eum fugiat quo",430.21,2,121.48,607.75,89,422.9,"2021-06-17 15:49:02","2021-05-16 00:21:53",196,21
117,ducimus,"est omnis dolor",8.22,8,930.32,658.79,98,54.02,"2022-01-15 06:10:06","2021-11-23 10:56:46",175,3
118,accusantium,"est omnis dolor",219.23,7,140.89,459.04,50,727.1,"2021-04-03 13:59:28","2021-12-28 12:01:42",1,31
119,culpa,"iusto odio dignissimos",34.27,6,82.32,783.2,81,441.31,"2022-02-02 03:16:31","2021-09-03 03:08:24",78,13
120,est,"esse quam nihil",747.65,6,648.15,740.05,36,966.88,"2021-09-21 21:53:09","2021-06-09 20:20:21",87,1
121,omnis,"qui in ea",893.73,7,977.43,195.5,6,307.82,"2021-09-24 10:14:17","2021-05-19 20:23:39",90,19
122,aspernatur," consequatur aut",54.02,2,164.84,496.26,18,948.67,"2021-09-28 06:18:07","2022-01-03 06:12:16",192,23
123,eaque,"distinctio nam libero",610.44,2,226.74,759.24,57,751.97,"2021-05-02 07:34:56","2021-05-26 04:29:26",108,12
124,quibusdam,"et expedita distinctio",212.31,10,173.13,961.74,82,668.4,"2021-09-01 02:41:15","2021-03-14 05:29:37",115,20
125,quis,"quod maxime placeat",81.07,2,916.87,838.54,49,129.17,"2021-05-23 20:15:19","2021-10-15 02:10:41",82,38
126,ullam,"nam libero tempore",848.3,9,373.25,901.12,97,614.74,"2022-01-16 14:13:03","2021-06-21 06:36:45",54,46
127,adipisci,"odio dignissimos ducimus",337.84,10,724.16,408.93,85,108.27,"2022-01-20 13:24:45","2022-01-10 02:21:44",6,30
128,recusandae,"id est laborum",65.87,6,117.85,990.99,44,42.44,"2021-10-02 04:07:40","2021-03-17 21:41:47",20,21
129,est,"neque dolorem ipsum",110.06,0,684.48,600.58,50,577.13,"2021-11-18 00:23:42","2021-05-09 16:46:27",137,21
130,sint,"officia deserunt mollitia",323.05,0,797.33,185.87,32,580.92,"2021-06-18 20:00:57","2021-06-04 05:20:19",183,38
131,velit,"assumenda est omnis",706.88,1,668.38,737.28,35,260.7,"2022-02-27 11:27:18","2021-12-09 10:15:37",113,22
132,minima,"labore et dolore",495.84,2,704.78,282.83,2,824.24,"2022-02-21 05:37:29","2022-01-28 23:23:26",17,22
133,soluta,"eum fugiat quo",523.48,7,662.62,815.95,50,199.57,"2021-04-18 04:38:40","2021-09-14 15:54:01",105,22
134,aspernatur,"aut perferendis sit",352.8,6,902.49,528.73,59,498.18,"2021-03-17 08:13:33","2021-05-27 22:31:40",13,49
135,quis,"repellat alias consequatur",286.54,2,845.59,704.58,60,974.35,"2021-04-06 15:30:52","2021-04-21 19:12:46",14,1
136,sit,"eos et accusamus",471.12,8,602.64,846.69,83,376.02,"2022-03-08 07:30:06","2021-08-08 14:10:48",197,48
137,qui,"temporibus autem quibusdam",488.65,4,504.97,306,83,625.16,"2021-07-26 13:50:23","2021-04-28 03:21:39",90,34
138,nemo,"quos dolores et",650.37,4,589.83,635.19,15,851.33,"2021-05-08 23:36:51","2022-02-23 22:21:51",200,27
139,quidem,"ut labore et",271.15,3,704.61,195.24,56,573.07,"2021-09-14 16:18:53","2022-01-03 07:47:20",151,44
140,qui,"dolor repellendus temporibus",237.94,9,746.54,792.63,78,161.33,"2022-01-11 03:26:30","2021-11-06 14:04:27",20,5
141,quibusdam,"et expedita distinctio",299.79,6,142.08,284.89,25,519.94,"2021-12-08 16:54:52","2021-07-02 00:43:32",11,41
142,quidem,"voluptate velit esse",730.54,4,897.14,324.55,37,944.47,"2021-11-01 18:36:21","2021-03-22 08:12:03",182,4
143,aspernatur,"dolor sit amet",371.13,10,466.82,371.1,60,332.16,"2021-09-25 12:03:09","2021-07-12 12:02:12",45,48
144,error,"tempora incidunt ut",738.33,3,767.19,837.81,12,795.71,"2021-07-10 07:25:33","2021-10-22 03:45:55",71,4
145,officia,"debitis aut rerum",682.47,7,628.52,738.68,65,239.81,"2022-03-03 22:28:19","2021-08-10 00:08:11",25,24
146,ea,"quia consequuntur magni",500.01,3,135.11,641.48,10,180.74,"2021-11-27 11:52:52","2021-06-19 05:30:36",2,50
147,accusantium,"nihil impedit quo",548.26,4,897.66,178,9,403.32,"2022-02-14 16:21:28","2021-05-24 01:22:24",145,15
148,corrupti,"est omnis dolor",607.72,4,45.13,499.47,21,262.96,"2021-05-03 10:15:13","2022-02-12 07:26:16",40,36
149,inventore,"quia voluptas sit",876.64,7,21.5,118.9,65,960.68,"2021-08-06 22:33:23","2021-12-18 21:03:23",69,45
150,repellendus,"ex ea commodi",855.32,1,892.22,384.15,26,347.07,"2021-08-28 20:03:28","2021-12-04 04:02:34",169,15
151,iste,"et iusto odio",103.68,5,652.92,625.06,64,819.83,"2022-03-08 20:45:16","2021-05-23 01:32:14",79,45
152,molestiae,"vero eos et",357.13,3,697.38,198.24,95,441.32,"2021-07-18 10:46:01","2021-08-24 15:10:15",131,47
153,ipsum,"quidem rerum facilis",922.31,1,797.26,7.68,94,949.39,"2021-03-29 06:38:42","2021-08-11 19:20:13",124,6
154,libero,"enim ad minima",475.92,1,513.24,780.7,71,206.61,"2021-03-22 16:51:40","2021-07-18 01:02:35",64,41
155,et,"consequatur aut perferendis",737.35,6,834.88,835.59,66,933.74,"2021-04-13 01:15:12","2021-07-03 21:28:49",43,26
156,est,"necessitatibus saepe eveniet",819.95,5,670.55,661.47,5,165.31,"2021-08-02 23:12:06","2021-06-06 02:50:17",148,4
157,et,"est et expedita",702.36,8,167.54,349.04,26,165.94,"2022-02-09 17:10:16","2021-12-06 20:50:32",8,18
158,perspiciatis,"ducimus qui blanditiis",677.97,10,12.7,913.51,87,559.59,"2021-10-13 04:00:35","2021-09-30 23:48:33",123,3
159,dignissimos,"non numquam eius",621.12,0,232.76,101.45,6,624.94,"2021-06-01 01:14:10","2021-04-25 20:41:15",187,27
160,est,"asperiores repellat alias",64.74,8,886.62,363.55,99,837.33,"2021-04-22 11:27:15","2021-04-13 04:25:10",96,24
161,magnam,"sed quia consequuntur",677.48,4,322.88,304.91,54,670.77,"2021-07-14 21:07:08","2021-08-30 23:59:45",156,38
162,perspiciatis,"cum soluta nobis",452.24,7,776.12,721.7,68,106.52,"2021-08-16 21:02:21","2021-09-16 01:10:14",9,46
163,commodi,"in ea voluptate",176.26,8,21.47,185.75,18,531.89,"2021-05-28 02:45:37","2021-12-25 22:46:31",59,37
164,odit,"facilis est et",173.04,4,828.95,684.55,80,409.95,"2021-10-13 18:44:27","2021-07-12 14:12:49",79,28
165,porro,"aspernatur aut odit",749.42,1,822.32,367.27,18,428.09,"2021-07-12 18:17:57","2021-05-21 19:53:00",76,35
166,illo,"est et expedita",600.32,4,247.16,774.55,10,871.64,"2021-03-20 22:13:27","2021-06-01 00:49:10",89,44
167,quis,"ad minima veniam",420.12,3,93.09,708.84,16,77.38,"2021-12-13 08:12:52","2021-08-03 18:17:54",176,29
168,nesciunt,"eum fugiat quo",843.81,5,800.03,110.81,86,721,"2021-10-10 05:27:21","2021-07-01 12:18:11",44,13
169,doloremque,"corrupti quos dolores",666.95,2,788.85,632.92,65,960.31,"2022-02-28 03:26:18","2022-02-11 19:07:20",81,45
170,iste,"voluptate velit esse",410.72,0,53.35,611.56,43,652.05,"2021-08-18 05:16:42","2021-03-20 15:47:09",2,36
171,nostrum,"nisi ut aliquid",752.06,4,300.74,987.11,84,931.26,"2021-11-01 07:34:17","2021-09-02 20:52:24",62,25
172,magni,"harum quidem rerum",931.82,0,681.34,34.98,37,85.82,"2021-09-29 00:51:16","2021-05-03 08:46:25",25,30
173,tempore,"adipisci velit sed",918.47,1,473.97,628.57,93,492.55,"2022-03-05 12:49:07","2021-11-21 22:05:46",194,30
174,qui,"a sapiente delectus",160.46,6,109.54,146.65,19,189.67,"2021-07-22 11:40:51","2021-07-30 12:27:01",89,36
175,et,"atque corrupti quos",844.78,2,980.69,118.47,56,518.13,"2021-04-08 05:22:12","2021-05-11 15:24:13",97,8
176,fugit,"excepturi sint occaecati",289,7,768.06,182.2,24,437.5,"2021-09-23 03:23:33","2021-03-27 13:58:22",19,10
177,rerum,"in ea voluptate",489.58,1,698.9,677.45,40,587.99,"2021-12-12 07:26:03","2021-05-17 05:03:11",199,8
178,rerum,"minus id quod",417.66,1,377.81,280.21,51,782.4,"2021-06-17 21:24:20","2022-02-18 03:45:54",189,25
179,eaque,"esse quam nihil",267.81,7,449.13,868.65,88,795.3,"2022-01-31 00:36:49","2022-02-04 06:05:57",3,38
180,quia,"illo inventore veritatis",913.03,3,956.55,331.75,84,757.62,"2021-04-27 11:28:55","2021-04-20 04:37:03",155,39
181,eos,"dolor repellendus temporibus",781.55,3,94.84,786.88,60,328.37,"2021-08-18 09:59:49","2021-03-16 17:25:30",43,26
182,voluptatem,"mollitia animi id",230.05,3,684.56,397.77,96,525.23,"2021-05-28 17:24:29","2022-02-24 17:45:22",100,6
183,odit,"quasi architecto beatae",942.76,8,672.7,882.99,45,650.63,"2021-06-08 14:29:25","2021-12-17 18:59:11",6,22
184,rem,"illum qui dolorem",335.16,2,94.31,282.56,48,137.29,"2021-11-01 05:34:50","2021-12-14 04:22:21",144,21
185,tenetur,"id quod maxime",793.25,4,923.7,504.41,43,963.64,"2021-08-01 00:34:44","2022-03-03 07:08:24",26,42
186,,"voluptatem sequi nesciunt",126.57,1,561.05,781.27,12,499.43,"2021-11-14 11:19:45","2021-08-30 00:25:39",140,20
187,aperiam,"omnis voluptas assumenda",527.35,7,265.27,433.77,18,647.69,"2021-08-24 22:23:47","2021-09-06 16:27:36",147,40
188,non,"eos qui ratione",391.91,0,406.36,291.26,50,840.55,"2021-06-26 07:51:38","2021-03-19 20:41:43",199,37
189,a,"voluptatem ut enim",594.69,4,964.16,505.32,87,203.2,"2022-03-07 14:30:14","2021-09-03 03:21:37",147,4
190,aut,"explicabo aspernatur aut",351.02,6,178.82,224.4,15,930.26,"2021-10-09 02:48:42","2021-08-09 16:08:26",87,25
191,mollitia,"ea commodi consequatur",618.73,10,741.1,772,77,99.08,"2021-07-10 18:51:18","2021-12-02 10:48:39",28,24
192,quis,"ipsum quia dolor",624.46,5,336.31,402.23,39,662.22,"2022-01-29 22:27:03","2021-07-29 03:56:56",155,8
193,ratione,"et quasi architecto",609.57,9,613.05,494.26,96,34.63,"2021-04-14 18:54:32","2021-08-13 04:57:33",111,43
194,voluptas,"hic tenetur a",666.15,8,969.71,465.35,25,333.59,"2021-05-09 20:30:02","2021-12-27 18:39:16",113,45
195,qui,"pariatur at vero",365.42,5,738.88,507.82,26,249.58,"2021-09-18 19:26:34","2022-01-19 21:12:22",128,24
196,distinctio,"occaecati cupiditate non",651.39,8,217,744.56,89,857.56,"2021-12-14 09:38:36","2021-06-25 22:54:30",52,2
197,nostrum,"odio dignissimos ducimus",389.19,3,77.2,190.94,3,132.09,"2021-08-10 16:57:00","2021-03-23 19:47:27",25,28
198,recusandae,"nobis est eligendi",716.09,6,35.2,402.06,90,561.16,"2021-04-09 07:05:00","2022-02-04 21:09:43",88,10
199,error,"doloremque aperiam eaque",639.4,10,540.24,787.43,44,421.74,"2021-04-11 05:47:14","2021-10-17 09:28:09",128,29
200,tempora,"non recusandae itaque",823.55,8,628.81,521.95,9,698.05,"2021-04-07 00:15:31","2021-10-18 20:37:48",48,43
201,ea,"voluptatem ut enim",6.08,3,977.39,967.17,32,100.91,"2021-05-21 16:27:10","2021-12-29 03:35:30",92,44
202,tempore,"aut reiciendis voluptatibus",215.64,10,227.76,139.4,78,337.59,"2022-01-27 01:21:43","2021-09-14 21:34:27",57,6
203,optio,"fugiat quo voluptas",797.97,6,603.76,847.7,25,718.81,"2022-01-13 17:08:18","2021-03-17 11:32:19",170,47
204,sunt,"expedita distinctio nam",152.38,3,39.28,633.74,15,123.65,"2021-07-22 10:26:09","2021-09-18 17:26:43",128,11
205,corporis,"qui dolorem eum",602.68,0,419.79,276.98,65,78.14,"2021-12-14 07:16:54","2021-05-18 11:21:14",53,29
206,perspiciatis,"delectus ut aut",962.88,3,862.65,139.38,19,997.57,"2022-01-09 18:42:22","2021-08-12 07:47:49",44,31
