buyer_id,date,buynow_id,buynow_qty,item_id,item_name,description,initial_price,item_quantity,reserve_price,buy_now,nb_of_bids,max_bid,start_date,end_date
15,"2021-10-16 03:41:53",11,2,113,consequatur,"totam rem voluptatum",134.12,10,652.29,799.32,25,393.91,"2021-04-15 02:39:42","2021-09-24 08:09:09"
130,"2022-02-04 07:26:37",12,2,19,ipsum,"ratione voluptatem sequi",919.99,0,932.63,67.86,1,29.3,"2021-07-30 15:57:00","2022-02-08 09:41:32"
52,"2021-10-31 21:43:26",13,3,1,numquam,"ut perspiciatis unde",264.89,3,843.95,526.97,95,200.84,"2021-06-25 12:20:43","2021-07-26 04:00:55"
48,"2021-05-21 04:24:33",14,1,54,fugiat,"doloribus asperiores repellat",700.98,2,763.83,768.23,20,675.75,"2021-04-12 10:17:53","2021-03-24 01:50:09"
108,"2021-07-11 10:28:47",15,1,20,sed,"impedit quo porro",206.17,7,25.8,73.86,33,739.57,"2021-10-20 07:39:09","2021-10-13 06:00:53"
116,"2022-01-02 14:41:42",16,1,135,quis,"repellat alias consequatur",286.54,2,845.59,704.58,60,974.35,"2021-04-06 15:30:52","2021-04-21 19:12:46"
52,"2021-05-17 17:11:06",17,2,5,et,"ut enim ad",725.55,2,413.1,671.19,21,63.14,"2021-07-08 17:57:17","2021-05-05 22:35:12"
91,"2022-01-18 16:43:45",18,3,170,iste,"voluptate velit esse",410.72,0,53.35,611.56,43,652.05,"2021-08-18 05:16:42","2021-03-20 15:47:09"
39,"2021-11-28 22:24:35",19,2,29,cum,"consequatur aut perferendis",257.94,8,677.27,52.68,10,91.16,"2021-06-20 21:37:24","2021-08-25 10:40:24"
56,"2022-01-01 13:02:57",20,2,39,autem,"itaque earum rerum",488.96,0,364.71,767.04,41,264.08,"2021-09-10 09:59:35","2022-02-05 14:14:35"
43,"2021-05-26 14:43:18",21,2,34,eaque,"et voluptates repudiandae",748.02,10,813.88,330.16,55,252.18,"2022-02-03 06:45:35","2021-04-01 00:28:58"
115,"2021-10-14 16:05:09",22,3,98,et,"culpa qui officia",478.4,3,150.47,19.71,80,110.31,"2022-02-02 20:31:47","2021-05-30 08:30:33"
95,"2021-03-16 00:52:44",23,2,23,repellendus,"excepturi sint occaecati",664.52,2,587.19,265.36,29,370.87,"2021-06-19 19:29:16","2021-08-22 11:36:02"
54,"2021-10-11 03:52:51",24,1,144,error,"tempora incidunt ut",738.33,3,767.19,837.81,12,795.71,"2021-07-10 07:25:33","2021-10-22 03:45:55"
158,"2021-06-04 00:03:46",25,3,162,perspiciatis,"cum soluta nobis",452.24,7,776.12,721.7,68,106.52,"2021-08-16 21:02:21","2021-09-16 01:10:14"
66,"2021-11-13 07:42:41",26,1,134,aspernatur,"aut perferendis sit",352.8,6,902.49,528.73,59,498.18,"2021-03-17 08:13:33","2021-05-27 22:31:40"
67,"2021-11-25 15:24:59",27,3,114,ut,"quam nihil molestiae",55.92,5,750.96,962.69,70,254.64,"2021-08-19 02:27:12","2021-12-18 09:49:18"
49,"2022-02-02 02:15:10",28,1,69,voluptas,"perferendis sit voluptatem",721.49,9,424.24,972.37,8,151.32,"2021-04-17 22:38:06","2021-04-29 19:28:16"
199,"2021-07-11 10:26:39",29,1,17,non,"aut perferendis sit",995.09,7,372.55,765.73,98,922.35,"2021-10-31 05:53:01","2021-03-23 02:48:46"
46,"2021-09-02 05:50:22",30,3,107,et,"rem voluptatum deleniti",509.33,6,419.61,766.32,30,536.54,"2021-06-22 13:03:59","2021-08-03 05:29:37"
141,"2021-08-18 07:22:54",31,1,102,magnam,"temporibus autem quibusdam",936.76,10,233.86,852.37,26,706.31,"2021-07-22 00:40:34","2021-07-29 04:33:23"
185,"2021-04-11 23:49:03",32,2,156,est,"necessitatibus saepe eveniet",819.95,5,670.55,661.47,5,165.31,"2021-08-02 23:12:06","2021-06-06 02:50:17"
187,"2021-12-08 18:03:23",33,1,141,quibusdam,"et expedita distinctio",299.79,6,142.08,284.89,25,519.94,"2021-12-08 16:54:52","2021-07-02 00:43:32"
89,"2022-02-19 22:59:31",34,3,8,nisi,"quasi architecto beatae",355.89,6,543.4,380.88,57,297.28,"2022-01-15 12:32:09","2021-12-06 20:51:29"
97,"2021-11-29 04:57:51",35,2,152,molestiae,"vero eos et",357.13,3,697.38,198.24,95,441.32,"2021-07-18 10:46:01","2021-08-24 15:10:15"
118,"2022-03-06 02:28:48",36,3,54,fugiat,"doloribus asperiores repellat",700.98,2,763.83,768.23,20,675.75,"2021-04-12 10:17:53","2021-03-24 01:50:09"
196,"2021-05-01 09:00:02",37,1,23,repellendus,"excepturi sint occaecati",664.52,2,587.19,265.36,29,370.87,"2021-06-19 19:29:16","2021-08-22 11:36:02"
22,"2021-04-07 07:42:11",38,2,185,tenetur,"id quod maxime",793.25,4,923.7,504.41,43,963.64,"2021-08-01 00:34:44","2022-03-03 07:08:24"
71,"2022-03-06 00:50:01",39,1,166,illo,"est et expedita",600.32,4,247.16,774.55,10,871.64,"2021-03-20 22:13:27","2021-06-01 00:49:10"
40,"2022-01-09 06:48:58",40,2,55,et,"molestiae non recusandae",797.87,0,920.99,972.34,18,662.77,"2021-12-18 07:31:15","2021-05-15 11:18:04"
94,"2021-12-23 14:44:33",41,1,160,est,"asperiores repellat alias",64.74,8,886.62,363.55,99,837.33,"2021-04-22 11:27:15","2021-04-13 04:25:10"
67,"2021-08-14 07:42:49",42,2,158,perspiciatis,"ducimus qui blanditiis",677.97,10,12.7,913.51,87,559.59,"2021-10-13 04:00:35","2021-09-30 23:48:33"
64,"2021-11-16 13:28:39",43,1,3,vel,"voluptatem sequi nesciunt",284.95,2,396.54,136.34,59,655.01,"2021-09-15 04:36:52","2021-07-26 11:56:39"
184,"2021-04-25 17:35:16",44,1,148,corrupti,"est omnis dolor",607.72,4,45.13,499.47,21,262.96,"2021-05-03 10:15:13","2022-02-12 07:26:16"
102,"2022-01-01 16:07:07",45,1,195,qui,"pariatur at vero",365.42,5,738.88,507.82,26,249.58,"2021-09-18 19:26:34","2022-01-19 21:12:22"
83,"2021-03-17 14:01:13",46,3,132,minima,"labore et dolore",495.84,2,704.78,282.83,2,824.24,"2022-02-21 05:37:29","2022-01-28 23:23:26"
154,"2022-01-12 05:41:04",47,1,68,nihil,"omnis dolor repellendus",680.61,2,612.26,232.26,85,102.18,"2021-08-25 13:47:52","2021-04-28 22:48:41"
52,"2021-12-18 02:54:22",48,1,88,sint,"nisi ut aliquid",542.92,6,862.78,806.46,48,614.29,"2021-05-04 07:07:07","2022-01-24 18:29:10"
42,"2021-09-14 17:03:48",49,1,49,amet,"temporibus autem quibusdam",98.85,8,180.56,889.52,48,857.59,"2021-12-02 00:31:37","2021-03-18 16:57:37"
5,"2021-11-19 15:50:32",50,2,114,ut,"quam nihil molestiae",55.92,5,750.96,962.69,70,254.64,"2021-08-19 02:27:12","2021-12-18 09:49:18"
48,"2021-04-28 12:43:41",51,1,22,velit,"consequatur vel illum",671.25,0,326.74,784.77,25,107.68,"2021-12-08 00:56:18","2021-12-14 19:22:51"
112,"2021-09-02 18:21:35",52,1,120,est,"esse quam nihil",747.65,6,648.15,740.05,36,966.88,"2021-09-21 21:53:09","2021-06-09 20:20:21"
134,"2021-08-15 09:13:24",53,1,134,aspernatur,"aut perferendis sit",352.8,6,902.49,528.73,59,498.18,"2021-03-17 08:13:33","2021-05-27 22:31:40"
11,"2021-12-09 09:39:58",54,2,154,libero,"enim ad minima",475.92,1,513.24,780.7,71,206.61,"2021-03-22 16:51:40","2021-07-18 01:02:35"
119,"2022-02-20 19:53:25",55,3,129,est,"neque dolorem ipsum",110.06,0,684.48,600.58,50,577.13,"2021-11-18 00:23:42","2021-05-09 16:46:27"
113,"2021-04-11 13:45:00",56,3,170,iste,"voluptate velit esse",410.72,0,53.35,611.56,43,652.05,"2021-08-18 05:16:42","2021-03-20 15:47:09"
14,"2021-09-08 17:51:35",57,2,90,distinctio,"est et expedita",241.08,3,181.65,909.4,62,816.44,"2021-11-25 14:55:05","2021-05-15 19:22:32"
179,"2021-04-13 04:59:59",58,2,88,sint,"nisi ut aliquid",542.92,6,862.78,806.46,48,614.29,"2021-05-04 07:07:07","2022-01-24 18:29:10"
71,"2021-11-10 16:01:59",59,1,107,et,"rem voluptatum deleniti",509.33,6,419.61,766.32,30,536.54,"2021-06-22 13:03:59","2021-08-03 05:29:37"
42,"2021-09-05 05:51:42",60,2,38,a,"nobis est eligendi",406.12,10,149.87,390.08,1,438.33,"2021-12-29 15:56:35","2021-08-25 03:29:21"
121,"2021-04-16 11:36:00",61,2,165,porro,"aspernatur aut odit",749.42,1,822.32,367.27,18,428.09,"2021-07-12 18:17:57","2021-05-21 19:53:00"
193,"2022-02-17 15:22:44",62,1,57,sed,"voluptatum deleniti atque",953.26,3,408.17,252.53,38,645.36,"2021-09-11 10:28:41","2021-12-29 03:31:17"
182,"2021-11-30 03:14:35",63,1,188,non,"eos qui ratione",391.91,0,406.36,291.26,50,840.55,"2021-06-26 07:51:38","2021-03-19 20:41:43"
110,"2021-12-09 18:19:16",64,2,158,perspiciatis,"ducimus qui blanditiis",677.97,10,12.7,913.51,87,559.59,"2021-10-13 04:00:35","2021-09-30 23:48:33"
14,"2021-05-10 17:08:14",65,3,161,magnam,"sed quia consequuntur",677.48,4,322.88,304.91,54,670.77,"2021-07-14 21:07:08","2021-08-30 23:59:45"
74,"2022-01-04 13:42:33",66,1,148,corrupti,"est omnis dolor",607.72,4,45.13,499.47,21,262.96,"2021-05-03 10:15:13","2022-02-12 07:26:16"
24,"2022-02-05 05:17:15",67,3,179,eaque,"esse quam nihil",267.81,7,449.13,868.65,88,795.3,"2022-01-31 00:36:49","2022-02-04 06:05:57"
115,"2021-08-14 19:37:28",68,3,144,error,"tempora incidunt ut",738.33,3,767.19,837.81,12,795.71,"2021-07-10 07:25:33","2021-10-22 03:45:55"
191,"2021-08-30 01:59:51",69,2,185,tenetur,"id quod maxime",793.25,4,923.7,504.41,43,963.64,"2021-08-01 00:34:44","2022-03-03 07:08:24"
157,"2021-04-25 04:48:39",70,3,129,est,"neque dolorem ipsum",110.06,0,684.48,600.58,50,577.13,"2021-11-18 00:23:42","2021-05-09 16:46:27"
103,"2021-10-17 09:16:53",71,1,133,soluta,"eum fugiat quo",523.48,7,662.62,815.95,50,199.57,"2021-04-18 04:38:40","2021-09-14 15:54:01"
190,"2021-06-28 03:47:38",72,1,70,,"itaque earum rerum",169.4,7,258.59,734.27,21,690.07,"2022-02-07 00:48:50","2021-10-07 03:13:04"
115,"2021-12-24 12:39:06",73,2,170,iste,"voluptate velit esse",410.72,0,53.35,611.56,43,652.05,"2021-08-18 05:16:42","2021-03-20 15:47:09"
1,"2021-09-01 07:16:21",74,2,30,harum,"ut et voluptates",788.53,4,896.86,404.2,17,170.01,"2021-11-10 22:31:28","2021-10-26 21:23:01"
30,"2021-09-03 03:55:46",75,1,123,eaque,"distinctio nam libero",610.44,2,226.74,759.24,57,751.97,"2021-05-02 07:34:56","2021-05-26 04:29:26"
35,"2021-10-08 23:45:46",76,1,165,porro,"aspernatur aut odit",749.42,1,822.32,367.27,18,428.09,"2021-07-12 18:17:57","2021-05-21 19:53:00"
136,"2021-03-12 07:43:12",77,2,45,libero,"sed quia consequuntur",769.81,5,219.32,648.56,86,821.34,"2021-08-25 06:12:06","2021-11-17 05:09:50"
26,"2021-08-15 04:22:55",78,1,159,dignissimos,"non numquam eius",621.12,0,232.76,101.45,6,624.94,"2021-06-01 01:14:10","2021-04-25 20:41:15"
135,"2021-08-10 06:37:55",79,2,143,aspernatur,"dolor sit amet",371.13,10,466.82,371.1,60,332.16,"2021-09-25 12:03:09","2021-07-12 12:02:12"
119,"2021-09-12 02:11:15",80,1,36,consequatur,"quibusdam et aut",970.59,5,868.79,793.13,12,203.6,"2021-07-29 11:26:44","2021-08-09 07:11:32"
90,"2022-02-11 07:14:25",81,1,87,hic,"et aut consequatur",311.62,2,102.94,278.02,33,462.07,"2022-02-21 23:48:57","2022-01-02 20:38:22"
162,"2021-11-05 12:49:38",82,3,32,eum,"autem quibusdam et",505.08,5,387.75,127.7,92,14.39,"2021-03-20 08:59:34","2021-11-24 15:47:46"
40,"2021-05-13 05:54:47",83,1,147,accusantium,"nihil impedit quo",548.26,4,897.66,178,9,403.32,"2022-02-14 16:21:28","2021-05-24 01:22:24"
185,"2022-03-07 14:45:15",84,2,91,laudantium,"culpa qui officia",229.16,2,362.2,836.27,66,571.8,"2021-05-08 11:38:29","2022-02-11 13:17:00"
1,"2021-10-02 10:25:08",85,2,192,quis,"ipsum quia dolor",624.46,5,336.31,402.23,39,662.22,"2022-01-29 22:27:03","2021-07-29 03:56:56"
9,"2021-08-10 23:16:41",86,3,116,possimus,"eum fugiat quo",430.21,2,121.48,607.75,89,422.9,"2021-06-17 15:49:02","2021-05-16 00:21:53"
56,"2021-08-21 18:01:40",87,1,60,ipsa,"porro quisquam est",472.65,6,635.56,512.97,15,146.84,"2021-09-21 16:11:32","2021-03-11 07:28:58"
31,"2021-11-13 19:37:50",88,2,9,cupiditate,"beatae vitae dicta",902.73,0,416.61,253.5,29,685.87,"2021-12-26 15:06:39","2021-12-23 02:05:08"
45,"2021-09-09 16:46:39",89,2,40,commodi,"eveniet ut et",914.58,10,744.49,506.25,11,768.08,"2021-11-09 15:55:13","2022-01-05 21:45:47"
87,"2021-12-11 00:03:41",90,2,186,,"voluptatem sequi nesciunt",126.57,1,561.05,781.27,12,499.43,"2021-11-14 11:19:45","2021-08-30 00:25:39"
7,"2021-07-27 23:25:34",91,2,195,qui,"pariatur at vero",365.42,5,738.88,507.82,26,249.58,"2021-09-18 19:26:34","2022-01-19 21:12:22"
60,"2021-08-17 13:33:32",92,2,101,qui,"reiciendis voluptatibus maiores",275.81,10,761.8,62.15,33,979.79,"2021-03-22 19:46:59","2021-06-09 03:49:43"
31,"2022-02-05 13:51:41",93,1,182,voluptatem,"mollitia animi id",230.05,3,684.56,397.77,96,525.23,"2021-05-28 17:24:29","2022-02-24 17:45:22"
171,"2021-04-19 04:35:52",94,2,150,repellendus,"ex ea commodi",855.32,1,892.22,384.15,26,347.07,"2021-08-28 20:03:28","2021-12-04 04:02:34"
1,"2022-01-23 14:12:29",95,1,140,qui,"dolor repellendus temporibus",237.94,9,746.54,792.63,78,161.33,"2022-01-11 03:26:30","2021-11-06 14:04:27"
27,"2021-05-15 22:52:58",96,3,25,maxime,"voluptates repudiandae sint",603.59,1,750.05,877.16,16,640.9,"2021-11-20 08:11:42","2021-04-06 03:13:55"
41,"2021-05-05 04:28:03",97,3,157,et,"est et expedita",702.36,8,167.54,349.04,26,165.94,"2022-02-09 17:10:16","2021-12-06 20:50:32"
151,"2021-09-24 02:03:14",98,1,170,iste,"voluptate velit esse",410.72,0,53.35,611.56,43,652.05,"2021-08-18 05:16:42","2021-03-20 15:47:09"
196,"2021-06-17 08:00:38",99,3,42,praesentium,"perspiciatis unde omnis",924.57,3,950.33,11.47,12,333.46,"2022-02-09 09:46:15","2021-11-12 13:25:13"
139,"2021-12-22 01:03:37",100,2,137,qui,"temporibus autem quibusdam",488.65,4,504.97,306,83,625.16,"2021-07-26 13:50:23","2021-04-28 03:21:39"
99,"2021-07-01 09:25:32",101,3,64,minima,"rerum facilis est",387.82,5,514.59,788.08,54,930.04,"2021-04-08 12:49:03","2021-04-08 03:21:21"
198,"2022-02-08 20:32:48",102,3,178,rerum,"minus id quod",417.66,1,377.81,280.21,51,782.4,"2021-06-17 21:24:20","2022-02-18 03:45:54"
41,"2021-12-24 09:45:45",103,3,150,repellendus,"ex ea commodi",855.32,1,892.22,384.15,26,347.07,"2021-08-28 20:03:28","2021-12-04 04:02:34"
182,"2021-08-13 02:19:23",104,3,62,natus,"velit sed quia",216.27,1,314.7,790.37,91,255.56,"2021-12-16 04:14:59","2022-02-16 11:39:04"
16,"2021-09-03 16:51:11",105,2,170,iste,"voluptate velit esse",410.72,0,53.35,611.56,43,652.05,"2021-08-18 05:16:42","2021-03-20 15:47:09"
65,"2022-03-06 17:57:04",106,3,18,voluptate,"sit voluptatem accusantium",388.42,8,282.42,400.26,92,395.47,"2021-10-23 12:35:03","2021-03-26 03:03:11"
47,"2022-02-15 14:18:09",107,2,144,error,"tempora incidunt ut",738.33,3,767.19,837.81,12,795.71,"2021-07-10 07:25:33","2021-10-22 03:45:55"
58,"2021-10-28 05:26:00",108,2,146,ea,"quia consequuntur magni",500.01,3,135.11,641.48,10,180.74,"2021-11-27 11:52:52","2021-06-19 05:30:36"
19,"2021-03-31 01:47:04",109,1,18,voluptate,"sit voluptatem accusantium",388.42,8,282.42,400.26,92,395.47,"2021-10-23 12:35:03","2021-03-26 03:03:11"
64,"2021-10-16 09:03:48",110,2,162,perspiciatis,"cum soluta nobis",452.24,7,776.12,721.7,68,106.52,"2021-08-16 21:02:21","2021-09-16 01:10:14"
157,"2022-01-08 10:07:59",111,2,22,velit,"consequatur vel illum",671.25,0,326.74,784.77,25,107.68,"2021-12-08 00:56:18","2021-12-14 19:22:51"
81,"2021-06-17 22:15:17",112,1,59,molestiae,"ab illo inventore",99.16,2,997.36,27.23,96,674.24,"2021-04-05 14:18:00","2021-10-07 09:14:39"
50,"2021-10-09 19:56:52",113,1,190,aut,"explicabo aspernatur aut",351.02,6,178.82,224.4,15,930.26,"2021-10-09 02:48:42","2021-08-09 16:08:26"
169,"2021-10-06 19:17:40",114,3,8,nisi,"quasi architecto beatae",355.89,6,543.4,380.88,57,297.28,"2022-01-15 12:32:09","2021-12-06 20:51:29"
44,"2021-05-26 16:37:37",115,3,106,excepturi,"modi tempora incidunt",593.82,1,535.92,160.91,39,789.95,"2021-07-20 05:12:03","2021-03-25 04:40:35"
182,"2021-07-18 09:27:03",116,3,96,autem,"ipsam voluptatem quia",437.02,1,768.4,45.1,10,390.51,"2022-03-06 06:48:22","2021-11-24 07:05:14"
111,"2021-11-09 01:44:58",117,3,189,a,"voluptatem ut enim",594.69,4,964.16,505.32,87,203.2,"2022-03-07 14:30:14","2021-09-03 03:21:37"
59,"2021-11-23 01:47:03",118,1,135,quis,"repellat alias consequatur",286.54,2,845.59,704.58,60,974.35,"2021-04-06 15:30:52","2021-04-21 19:12:46"
108,"2021-07-19 20:54:32",119,1,99,in,"ab illo inventore",21.55,7,848.46,85.44,41,164,"2021-11-11 04:51:20","2021-07-03 12:54:18"
140,"2022-03-09 01:33:59",120,3,147,accusantium,"nihil impedit quo",548.26,4,897.66,178,9,403.32,"2022-02-14 16:21:28","2021-05-24 01:22:24"
25,"2021-08-24 10:23:44",121,2,29,cum,"consequatur aut perferendis",257.94,8,677.27,52.68,10,91.16,"2021-06-20 21:37:24","2021-08-25 10:40:24"
96,"2022-03-01 14:30:57",122,3,89,et,"eius modi tempora",7.91,6,407.43,945.41,13,264.78,"2021-04-28 17:59:45","2021-03-14 12:44:21"
82,"2021-04-01 06:01:12",123,2,180,quia,"illo inventore veritatis",913.03,3,956.55,331.75,84,757.62,"2021-04-27 11:28:55","2021-04-20 04:37:03"
45,"2021-03-20 21:43:19",124,1,117,ducimus,"est omnis dolor",8.22,8,930.32,658.79,98,54.02,"2022-01-15 06:10:06","2021-11-23 10:56:46"
131,"2021-04-02 15:32:48",125,2,116,possimus,"eum fugiat quo",430.21,2,121.48,607.75,89,422.9,"2021-06-17 15:49:02","2021-05-16 00:21:53"
24,"2021-07-30 03:27:36",126,1,62,natus,"velit sed quia",216.27,1,314.7,790.37,91,255.56,"2021-12-16 04:14:59","2022-02-16 11:39:04"
126,"2022-01-03 22:58:21",127,2,176,fugit,"excepturi sint occaecati",289,7,768.06,182.2,24,437.5,"2021-09-23 03:23:33","2021-03-27 13:58:22"
95,"2022-02-05 07:58:53",128,2,4,voluptates,"molestias excepturi sint",397.64,10,437.13,16.75,95,447.67,"2021-06-14 07:57:49","2021-05-03 22:57:56"
168,"2021-12-02 11:54:09",129,3,190,aut,"explicabo aspernatur aut",351.02,6,178.82,224.4,15,930.26,"2021-10-09 02:48:42","2021-08-09 16:08:26"
43,"2022-03-02 03:55:46",130,2,197,nostrum,"odio dignissimos ducimus",389.19,3,77.2,190.94,3,132.09,"2021-08-10 16:57:00","2021-03-23 19:47:27"
43,"2021-05-15 06:16:32",131,1,161,magnam,"sed quia consequuntur",677.48,4,322.88,304.91,54,670.77,"2021-07-14 21:07:08","2021-08-30 23:59:45"
134,"2022-01-22 18:31:03",132,3,185,tenetur,"id quod maxime",793.25,4,923.7,504.41,43,963.64,"2021-08-01 00:34:44","2022-03-03 07:08:24"
156,"2021-07-24 19:08:49",133,2,52,ut,"dolores et quas",43.15,2,497.85,547.88,73,919.92,"2021-05-23 09:34:02","2021-09-30 14:55:34"
167,"2021-10-28 22:45:18",134,2,123,eaque,"distinctio nam libero",610.44,2,226.74,759.24,57,751.97,"2021-05-02 07:34:56","2021-05-26 04:29:26"
174,"2021-09-30 02:08:21",135,2,106,excepturi,"modi tempora incidunt",593.82,1,535.92,160.91,39,789.95,"2021-07-20 05:12:03","2021-03-25 04:40:35"
16,"2021-09-10 12:19:38",136,3,138,nemo,"quos dolores et",650.37,4,589.83,635.19,15,851.33,"2021-05-08 23:36:51","2022-02-23 22:21:51"
102,"2021-06-20 11:45:03",137,1,61,voluptatem,"magnam aliquam quaerat",425.55,4,591.37,368.32,73,60.36,"2021-08-23 02:27:59","2021-09-19 19:35:50"
118,"2021-09-03 02:33:37",138,1,195,qui,"pariatur at vero",365.42,5,738.88,507.82,26,249.58,"2021-09-18 19:26:34","2022-01-19 21:12:22"
185,"2021-10-27 02:20:08",139,2,42,praesentium,"perspiciatis unde omnis",924.57,3,950.33,11.47,12,333.46,"2022-02-09 09:46:15","2021-11-12 13:25:13"
102,"2021-08-11 03:06:09",140,1,63,quasi,"corrupti quos dolores",766.01,2,821.29,917.76,45,314.11,"2021-12-30 15:18:28","2021-09-17 06:40:25"
63,"2021-07-22 10:03:56",141,3,6,voluptatem,"eum iure reprehenderit",98.89,2,540.36,636.19,31,176.09,"2021-05-09 09:36:50","2021-04-01 18:06:18"
79,"2021-11-10 22:56:21",142,1,168,nesciunt,"eum fugiat quo",843.81,5,800.03,110.81,86,721,"2021-10-10 05:27:21","2021-07-01 12:18:11"
161,"2021-04-28 19:22:02",143,1,77,earum,"repudiandae sint et",835.3,1,2.56,305.31,77,171.52,"2021-08-25 12:17:59","2021-12-25 21:21:55"
137,"2021-08-07 03:29:24",144,2,167,quis,"ad minima veniam",420.12,3,93.09,708.84,16,77.38,"2021-12-13 08:12:52","2021-08-03 18:17:54"
151,"2021-12-11 15:30:08",145,1,78,qui,"aut perferendis sit",587.35,8,363.7,889.17,77,340.06,"2021-09-03 15:32:53","2021-10-28 21:45:53"
68,"2021-11-15 21:58:37",146,1,108,et,"modi tempora incidunt",405.08,2,945.05,656.95,77,509.78,"2022-03-06 10:56:16","2021-06-17 01:32:51"
75,"2022-02-16 13:29:59",147,3,170,iste,"voluptate velit esse",410.72,0,53.35,611.56,43,652.05,"2021-08-18 05:16:42","2021-03-20 15:47:09"
39,"2021-06-01 00:28:01",148,2,18,voluptate,"sit voluptatem accusantium",388.42,8,282.42,400.26,92,395.47,"2021-10-23 12:35:03","2021-03-26 03:03:11"
109,"2021-09-29 02:47:22",149,2,19,ipsum,"ratione voluptatem sequi",919.99,0,932.63,67.86,1,29.3,"2021-07-30 15:57:00","2022-02-08 09:41:32"
157,"2021-09-17 02:42:17",150,3,104,in,"quasi architecto beatae",669.15,5,405.8,30.04,75,186.63,"2022-01-17 01:17:30","2021-06-29 01:32:57"
90,"2021-06-20 07:37:16",151,3,193,ratione,"et quasi architecto",609.57,9,613.05,494.26,96,34.63,"2021-04-14 18:54:32","2021-08-13 04:57:33"
147,"2022-01-04 06:07:42",152,3,187,aperiam,"omnis voluptas assumenda",527.35,7,265.27,433.77,18,647.69,"2021-08-24 22:23:47","2021-09-06 16:27:36"
62,"2022-01-08 00:30:54",153,1,29,cum,"consequatur aut perferendis",257.94,8,677.27,52.68,10,91.16,"2021-06-20 21:37:24","2021-08-25 10:40:24"
2,"2021-05-18 13:33:13",154,1,94,est,"magni dolores eos",269.74,2,350.29,131.46,81,6.84,"2021-04-27 18:57:01","2021-03-11 02:23:55"
58,"2021-07-17 07:19:18",155,3,56,ea,"quis nostrum exercitationem",929.06,4,242.83,773.89,67,214.79,"2022-01-26 01:27:46","2021-10-31 13:51:50"
173,"2021-06-19 23:22:35",156,1,22,velit,"consequatur vel illum",671.25,0,326.74,784.77,25,107.68,"2021-12-08 00:56:18","2021-12-14 19:22:51"
156,"2021-06-19 21:05:40",157,1,71,sed,"vero eos et",497.1,8,350.37,774.31,59,575.15,"2022-03-09 07:00:13","2021-07-14 09:32:20"
25,"2021-06-03 01:42:56",158,1,29,cum,"consequatur aut perferendis",257.94,8,677.27,52.68,10,91.16,"2021-06-20 21:37:24","2021-08-25 10:40:24"
193,"2022-01-05 19:18:01",159,3,173,tempore,"adipisci velit sed",918.47,1,473.97,628.57,93,492.55,"2022-03-05 12:49:07","2021-11-21 22:05:46"
188,"2022-01-03 23:18:13",160,3,6,voluptatem,"eum iure reprehenderit",98.89,2,540.36,636.19,31,176.09,"2021-05-09 09:36:50","2021-04-01 18:06:18"
8,"2021-12-13 01:49:38",161,3,41,ex,"debitis aut rerum",604.73,3,67.41,9.49,13,80.38,"2021-03-31 09:20:47","2021-12-21 23:39:02"
24,"2021-10-27 06:45:07",162,3,86,quidem,"quia non numquam",902.88,8,141.94,345.88,48,582.56,"2021-03-29 11:47:10","2021-03-30 03:52:18"
130,"2021-04-29 20:56:50",163,1,64,minima,"rerum facilis est",387.82,5,514.59,788.08,54,930.04,"2021-04-08 12:49:03","2021-04-08 03:21:21"
67,"2021-04-08 15:26:23",164,1,104,in,"quasi architecto beatae",669.15,5,405.8,30.04,75,186.63,"2022-01-17 01:17:30","2021-06-29 01:32:57"
